Titulo,Rating,Genero,Descripcion,Link,Duracion
Un hombre a la altura,TV-14,Comedia,"Una hermosa y recién divorciada abogada recibe una llamada de un hombre que se ha encontrado su móvil. Él es educado y culto, y ella cae bajo su hechizo. Tienen una cita, pero su encuentro no es el esperado. Con el ganador del Oscar Jean Dujardin.",https://pluto.tv/latam/on-demand/movies/6256d78cbacbfb0013c1b016/details,1hr 38 min
Ma ma,TV-14,Drama,"Con la ganadora del Oscar, Penélope Cruz. Tras ser diagnosticada con cáncer de mama, Magda una maestra en paro, reacciona con gran valentía y optimismo, por lo que impactará a toda su familia con momentos especiales para recordar.",https://pluto.tv/latam/on-demand/movies/62138b5a33b8100013bb6c8d/details,1hr 51 min
Bring it on,PG-13,Comedia,"Dos equipos de animadoras se enfrentarán para conseguir el gran premio nacional de ""cheerleaders"".",https://pluto.tv/latam/on-demand/movies/5e0a2bfcbe8fa6764e87710e/details,1hr 38 min
"Sparks, La Historia de Ken Sparks",PG,Documental,"Durante 46 años, Ken Sparks dedicó su vida, a pesar de los sacrificios que le exigía, a entrenar el fútbol de tal manera que llevara a jugadores y fanáticos a Jesús y, al hacerlo, convirtió al hombre en una leyenda.",https://pluto.tv/latam/on-demand/movies/65c39557ecf2e50013883adf/details,1hr 30 min
El Mundo según Wayne 2,PG-13,Comedia,"Los dos roqueros favoritos de Aurora, Illinois, están de vuelta en esta secuela de la comedia de 1992, El mundo de Wayne.",https://pluto.tv/latam/on-demand/movies/5e5ebb3867bbf8001aab528b/details,1hr 34 min
War of the Worlds 2: The Next Wave,TV-14,Acción y Aventura,"Dos años después de la invasión marciana, se dan cuenta de los peores temores de George Herbert: han regresado.",https://pluto.tv/latam/on-demand/movies/5dc92f1f045f36ab79e54d13/details,1hr 27 min
Mi Muerte,R,Terror,Una pareja debe descubrir el misterio detrás de un extraño video que muestra a uno de ellos matando al otro durante una noche de la que no tienen memoria.,https://pluto.tv/latam/on-demand/movies/65cfaf4c8cea3c00138a562d/details,1hr 34 min
El sustituto 4,R,Acción y Aventura,Encubierto y en peligro: Treat Williams encarna a un policía que se hace pasar por profesor en una escuela militar de élite amenazada desde adentro por neonazis clandestinos.,https://pluto.tv/latam/on-demand/movies/65cfb386a3a8580013caab00/details,1hr 31 min
El Dador de Recuerdos,PG,Sci-Fi y Fantasía,Cuenta la historia de un mundo perfecto en el que todos sus habitantes son felices de forma artificial. Los que se encuentran en el poder han eliminado cualquier motivo que pudiera suponer un enfrentamiento o discusión.,https://pluto.tv/latam/on-demand/movies/5f7b86f0e4b56900138b75c4/details,1hr 37 min
K-9 Aventuras: Un Cuento de Navidad,TV-G,Familia,"Kassie, sus amigos y su perro, Scoot, organizan una recaudación de fondos para las fiestas, pero deben proteger el dinero de algunos ladrones para poder salvar la Navidad.",https://pluto.tv/latam/on-demand/movies/61f2a44d04ff25001a4fe790/details,1hr 29 min
